Location,Gender,Age group,Count
Nova Scotia,Total - gender,45 to 49 years,62365
Nova Scotia,Total - gender,50 to 54 years,65263
Nova Scotia,Total - gender,55 to 59 years,70226
Nova Scotia,Total - gender,60 to 64 years,81551
Nova Scotia,Total - gender,65 years and older,238698
Nova Scotia,Men+,16 years,5607
Nova Scotia,Men+,17 years,5404
Nova Scotia,Men+,18 years,5586
Nova Scotia,Men+,19 years,5733
Nova Scotia,Men+,20 years,6003
Nova Scotia,Men+,21 years,6353
Nova Scotia,Men+,22 years,6783
Nova Scotia,Men+,23 years,7411
Nova Scotia,Men+,24 years,8180
Nova Scotia,Men+,25 years,8584
Nova Scotia,Men+,26 years,8733
Nova Scotia,Men+,27 years,8087
Nova Scotia,Men+,28 years,8053
Nova Scotia,Men+,29 years,7879
Nova Scotia,Men+,30 years,7617
Nova Scotia,Men+,31 years,7751
Nova Scotia,Men+,32 years,7667
Nova Scotia,Men+,33 years,7735
Nova Scotia,Men+,34 years,7869
Nova Scotia,Men+,35 years,7384
Nova Scotia,Men+,36 years,7005
Nova Scotia,Men+,37 years,7198
Nova Scotia,Men+,38 years,7044
Nova Scotia,Men+,39 years,7057
Nova Scotia,Men+,40 years,6884
Nova Scotia,Men+,41 years,6979
Nova Scotia,Men+,42 years,6588
Nova Scotia,Men+,43 years,6500
Nova Scotia,Men+,44 years,6448
Nova Scotia,Men+,45 to 49 years,30631
Nova Scotia,Men+,50 to 54 years,31659
Nova Scotia,Men+,55 to 59 years,34036
Nova Scotia,Men+,60 to 64 years,39857
Nova Scotia,Men+,65 years and older,110131
Nova Scotia,Women+,16 years,5213
Nova Scotia,Women+,17 years,5065
Nova Scotia,Women+,18 years,5024
Nova Scotia,Women+,19 years,5210
Nova Scotia,Women+,20 years,5528
Nova Scotia,Women+,21 years,5638
Nova Scotia,Women+,22 years,6165
Nova Scotia,Women+,23 years,6607
Nova Scotia,Women+,24 years,7310
Nova Scotia,Women+,25 years,7197
Nova Scotia,Women+,26 years,7312
Nova Scotia,Women+,27 years,7173
Nova Scotia,Women+,28 years,7433
Nova Scotia,Women+,29 years,7408
Nova Scotia,Women+,30 years,7486
Nova Scotia,Women+,31 years,7464
Nova Scotia,Women+,32 years,7561
Nova Scotia,Women+,33 years,7538
Nova Scotia,Women+,34 years,7642
Nova Scotia,Women+,35 years,7369
Nova Scotia,Women+,36 years,7195
Nova Scotia,Women+,37 years,7028
Nova Scotia,Women+,38 years,6878
Nova Scotia,Women+,39 years,6920
Nova Scotia,Women+,40 years,6872
